name,mz,rt,Annotation.type,annotated.from.ID,annotated.from.peak,ID,compound.name,isotope,adduct,Formula,score,peak.group,confidence
36028,201.112,1402.234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55350,201.112,414.978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106900,201.112,556.703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131445,201.131,1660.925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120190,201.163,1050.345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23746,201.136,494.0452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121659,201.14,551.5483,metAnnotation,C05575,117813,C04259,"N,N-Dimethylhistidine",[M],M+NH4,C8H13N3O2,0.486795222256304,C04259_3,grade3
61072,201.147,486.043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135459,201.148,802.243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97398,202.612,330.2767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117259,202.966,344.3617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32539,202.987,399.9702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106147,203.008,1217.0033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129987,203.09,448.3297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47242,203.119,425.6289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113198,203.135,317.491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105468,203.164,930.7585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116936,203.958,453.2937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88037,204.122,318.8704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
272,204.436,293.3268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104809,204.634,316.8794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121754,205.082,694.3891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118840,205.142,574.5019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66754,205.124,645.5767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148890,205.122,649.1763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116684,205.133,350.1061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81359,205.142,478.3161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147688,205.119,282.4267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125141,205.119,282.6703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113342,205.141,335.5813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133498,205.122,1135.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111607,205.139,1091.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130690,205.139,619.331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140761,205.148,1096.6636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124115,205.143,704.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47706,205.143,602.7184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25578,205.176,1089.481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86107,205.143,1091.175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101096,205.152,885.0644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33624,205.143,425.7305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137889,205.171,964.116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82385,205.165,949.9657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
633,205.195,1089.255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77158,206.088,874.4533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81571,206.144,695.8876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36110,207.002,417.1707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116790,206.979,394.6793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86412,207.579,465.8403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34064,207.138,509.8588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75299,207.051,1012.8535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113695,206.979,323.3873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120754,209.135,1080.3215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124783,209.117,1050.2467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42080,209.142,1082.1215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150692,209.153,766.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120734,209.154,765.652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88393,209.154,888.326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110384,209.649,828.896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150786,209.675,671.4744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40349,210.149,1002.4673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110774,210.979,1546.3433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64317,211.075,852.8123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117140,211.075,1681.5667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93558,211.075,1580.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87421,211.13,1571.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102578,211.163,1030.4326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85393,211.13,1039.2526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72005,211.16,1236.8274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85672,211.125,1155.1347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121747,211.163,1395.4891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111370,211.121,284.4752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130133,211.119,919.828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96709,211.676,364.8903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87579,211.162,1647.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64861,211.133,958.3347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82097,211.133,938.1835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
